HEALTH_CENTER,HEALTH_CENTER_CODE,ADDRESS,STREET_NAME,SUFX,CITY,STATE,ZIPCODE,PHONE,CARE_TYPE,MONDAY_OPEN,MONDAY_CLOSE,TUESDAY_OPEN,TUESDAY_CLOSE,WEDNESDAY_OPEN,WEDNESDAY_CLOSE,THURSDAY_OPEN,THURSDAY_CLOSE,FRIDAY_OPEN,FRIDAY_CLOSE,SPECIAL_HOURS_NOTES,SERVICES_PROVIDED,CENTER_DESCRIPTION,INSURANCE_ACCEPTED,TITLE_X_SERVICES,NEIGHBORHOOD,LATITUDE,LONGITUDE,ADULT,PEDIATRICS,OB,NURSING_SERVICES,LAB,IMMUNIZATIONS,OUTREACH_ENROLLMENT_SERVICES,GYN,STI_TESTING,PHARMACY,DIABETIC_EDUCATION,WIC,BEHAVIORAL_HEALTH,SAFE_PLACE,AVERAGE_MEDICAL_COST,ADMISSION_FEE,AVERAGE_LAB_FEE
Roberts Paideia Academy Health Center,CCPC RP ACADEMY SBHC,1702 GRAND AV,GRAND,AV,CINCINNATI,OH,45214,513-363-4669,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,Summer hours by appointment.  Open to students and Roberts Community,"Adults, Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EAST PRICE HILL,39.11759253,-84.55765972,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,4100,270,400
Bobbie Sterne Health Center Dental,CCPC ELM ST DENTAL,1525 ELM ST,ELM,ST,CINCINNATI,OH,45202,513-352-2927,DENTAL,7:00 AM,6:30 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,12:00 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,OVER-THE-RHINE,39.11218793,-84.51939397,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2500,300,500
Withrow University High School Health Center,CCPC WITHROW HIGH SBH,2520 MADISON RD,MADISON,RD,CINCINNATI,OH,45208,513-363-9023,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,HYDE PARK,39.14133639,-84.45114438,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,6700,250,600
Millvale at Hopple Street Health Center: Dental,CCPC MILLVALE DENTAL,2750 BEEKMAN ST,BEEKMAN,AV,CINCINNATI,OH,45225,513-352-3196,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,NORTH FAIRMOUNT,39.13595211,-84.54726157,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,4875,200,300
Bobbie Sterne Health Center Behavioral Health,CCPC ELM ST BH,1525 ELM ST,ELM,ST,CINCINNATI,OH,45202,513-352-3092,BEHAVIORAL HEALTH,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,Behavioral Health services,This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,OVER-THE-RHINE,39.11218793,-84.51939397,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,3450,100,250
Citylink Center Vision Health Care,CCPC CITYLINK VISION,800 BANK ST,BANK,ST,CINCINNATI,OH,45214,513-357-2000,VISION,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,8:30 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Saturday hours only second and fourth Saturdays of the month: April - October,Vision Services,,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.11985287,-84.52742325,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,2504,150,250
Roll Hill Academy Health Center,CCPC ROLL HILL ACADEM,2411 BALTIMORE AV,BALTIMORE,AV,CINCINNATI,OH,45225,513-363-4018,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EAST WESTWOOD,39.15367504,-84.56457129,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,1700,300,300
Millvale at Hopple Street Health Center,CCPC MILLVALE,2750 BEEKMAN ST,BEEKMAN,ST,CINCINNATI,OH,45225,513-352-3192,MEDICAL,9:00 AM,6:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"First Tuesday of each month, hours are 1-5 pm ; Social Worker Wednesdays only  Saturday hours 8am-12 noon, no pharmacy available on Saturdays","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",Full service primary care health center located in the Millvale community providing medical services to children and familes in this community and surrounding communites as well as the refugee ppoulation.,"Medicaid (CareSource, Molina, United Health Care, Buckeye, Paramount), Medicare, Self-Pay",Yes,NORTH FAIRMOUNT,39.13595211,-84.54726157,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3400,200,300
Western Hills & Dater High School Health Center,CCPC WESTERNHILLS SBH,2146 FERGUSON RD,FERGUSON,RD,CINCINNATI,OH,45238,513-363-8770,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST PRICE HILL,39.12475463,-84.59873431,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,3405,250,400
Northside Health Center Behavioral Health,CCPC NORTHSIDE BH,3917 SPRING GROVE AV,SPRING GROVE,AV,CINCINNATI,OH,45223,513-357-7600,BEHAVIORAL HEALTH,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,Behavioral Health services,This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,NORTHSIDE,39.15743719,-84.54062924,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,2100,160,220
Oyler School Health Center,CCPC OYLER SBHC,2121 HATMAKER ST,HATMAKER,ST,CINCINNATI,OH,45204,513-363-4182,SCHOOL & ADOLESCENT HEALTH,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.104064,-84.55177886,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,3020,170,305
Academy of World Languages School Health Center,CCPC AWL SBHC,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,45207,513-363-7843,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EVANSTON,39.1354762,-84.46202267,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,3040,135,201
Riverview East School Health Center,CCPC RIVERVIEW EAST,3555 KELLOGG AV,KELLOGG,AV,CINCINNATI,OH,45226,513-363-3476,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,5:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,Open year round.  Open to students at Riverview and community,"Adult medicine, Pediatrics, Immunizations, Lab, Outreach and enrollment assistance; SBHC",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EAST END,39.11387313,-84.44085737,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,2010,125,190
Ethel M. Taylor Academy Health Center,CCPC ETHEL TAYLOR SBH,1930 FRICKE RD,FRICKE,RD,CINCINNATI,OH,45225,513-363-3645,SCHOOL & ADOLESCENT HEALTH,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MILLVALE,39.14743629,-84.55213878,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,2000,150,500
Bobbie Sterne Health Center,CCPC ELM ST.,1525 ELM ST,ELM,ST,CINCINNATI,OH,45202,513-352-3092,MEDICAL,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"Closed 1st Tuesday of every month (8-1pm), and 3rd Thursday of every month (8-9am)","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,OVER-THE-RHINE,39.11218793,-84.51939397,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2100,270,600
Price Hill Health Center,CCPC PRICE HILL,2136 W 8TH ST,W 8TH,ST,CINCINNATI,OH,45204,513-357-2700,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance","Price Hill Health Center is a full service Cincinnati Health Department health center. PHHC serves the needs of adults, children and ob/gyn patients.","We accept Medicaid, Caresource, Molina, Buckeye, Paramount, United, Medicare and some private insurance. We also accept patients without insurance.",Yes,LOWER PRICE HILL,39.10564508,-84.55243529,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,2300,300,300
Mt. Airy School Health Center,CCPC MT AIRY SBHC,5730 COLERAIN AV,COLERAIN,AV,CINCINNATI,OH,45239,513-363-3765,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MT. AIRY,39.19836038,-84.57661448,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,4000,250,250
Braxton F. Cann Memorial Medical Center,CCPC BRAXTON CANN,5818 MADISON RD,MADISON,RD,CINCINNATI,OH,45227,513-263-8750,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,First Tuesday of each month hours are 1-5pm; Third Friday of each month closed from 8-10am,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,MADISONVILLE,39.16096772,-84.39368858,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4030,200,250
Walnut Street Health Center,CCPC WALNUT ST CLINIC,1005 WALNUT ST,WALNUT,ST,CINCINNATI,OH,45202,513-352-6320,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Immunizations, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,DOWNTOWN,39.10680295,-84.51288745,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,2010,100,300
Northside Health Center: Dental,CCPC NORTHSIDE DENTAL,3917 SPRING GROVE AV,SPRING GROVE,AV,CINCINNATI,OH,45223,513-357-7610,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,NORTHSIDE,39.15743719,-84.54062924,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,4100,150,300
Citylink Center Dental Health Care,CCPC CITYLINK DENTAL,800 BANK ST,BANK,ST,CINCINNATI,OH,45214,513-357-2000,DENTAL,,,8:00 AM,5:00 PM,,,,,,,,"Adults and children dental services (cleanings, fillings, extractions and dentures)",Community Health Center Dental sites provide comprehensive general dental services.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.11985287,-84.52742325,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2500,300,400
Taft High School,CCPC TAFT HIGH SCHOOL,420 EZZARD CHARLES DR,EZZARD CHARLES,DR,CINCINNATI,OH,45214,513-363-8330,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.10956819,-84.52250754,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,6700,200,220
Ambrose H. Clement Health Center,CCPC AMBROSE CLEMENT,3101 BURNET AV,BURNET,AV,CINCINNATI,OH,45229,513-357-7300,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Walk-In Appointments for STI Testing Available.,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Immunizations, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,CORRYVILLE,39.13525493,-84.50115521,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1302,225,320
